Date,Page Views,Onload (s),Time to Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Time to DOM Interactive (s),Time to DOM Content Loaded (s),1stByte (s),DNS (s),TCPCon (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),JS Errors (Sampled),INP (s),Total Blocking Time (s),Cumulative Layout Shift
2024-02-01 00:00,4179864,5.15,5.5,2.25,4.68,2.44,2.54,0.63,0.0,0.0,4.2,0.0,0.0,0.0,"79,264",0.352,2.51,1.583
2024-02-02 00:00,3334748,5.11,5.95,2.29,4.68,2.39,2.49,0.66,0.0,0.0,4.16,0.0,0.0,0.0,"65,776",0.352,2.34,1.537
2024-02-03 00:00,4333827,4.88,5.78,2.19,4.51,2.32,2.42,0.64,0.0,0.0,3.99,0.0,0.0,0.0,"89,304",0.352,2.33,1.523
2024-02-04 00:00,4097561,4.84,5.71,2.23,4.55,2.27,2.37,0.64,0.0,0.0,3.93,0.0,0.0,0.0,"79,778",0.336,2.17,1.526
2024-02-05 00:00,2939621,5.09,5.84,2.33,4.72,2.36,2.47,0.68,0.0,0.0,4.12,0.0,0.0,0.0,"55,380",0.336,2.13,1.48
2024-02-06 00:00,2833647,5.03,5.83,2.34,4.75,2.35,2.46,0.68,0.0,0.0,4.06,0.0,0.0,0.0,"55,898",0.336,2.12,1.459
2024-02-07 00:00,2880798,5.09,5.89,2.36,4.75,2.4,2.5,0.68,0.0,0.0,4.11,0.0,0.0,0.0,"54,875",0.336,2.13,1.457
2024-02-08 00:00,2999162,5.04,5.84,2.38,4.75,2.39,2.5,0.69,0.0,0.0,4.04,0.0,0.0,0.0,"53,497",0.336,2.12,1.451
2024-02-09 00:00,3369397,5.19,5.97,2.29,4.66,2.46,2.57,0.67,0.0,0.0,4.21,0.0,0.0,0.0,"68,804",0.344,2.35,1.472
2024-02-10 00:00,4423534,5.03,5.79,2.19,4.52,2.39,2.49,0.63,0.0,0.0,4.11,0.0,0.0,0.0,"83,328",0.344,2.35,1.458
2024-02-11 00:00,3573085,4.93,5.69,2.26,4.57,2.34,2.44,0.65,0.0,0.0,3.98,0.0,0.0,0.0,"69,852",0.336,2.2,1.426
2024-02-12 00:00,2777832,5.16,5.83,2.38,4.74,2.42,2.52,0.69,0.0,0.0,4.17,0.0,0.0,0.0,"50,308",0.328,2.19,1.448
2024-02-13 00:00,2951151,5.15,5.87,2.43,4.86,2.48,2.58,0.77,0.0,0.0,4.09,0.0,0.0,0.0,"43,523",0.328,2.2,1.465
2024-02-14 00:00,2684509,5.28,6.02,2.48,4.93,2.55,2.66,0.83,0.0,0.0,4.16,0.0,0.0,0.0,"39,608",0.328,2.19,1.48
2024-02-15 00:00,3774192,5.14,5.83,2.31,4.63,2.51,2.6,0.75,0.0,0.0,4.03,0.0,0.0,0.0,"50,018",0.32,2.11,1.442
2024-02-16 00:00,3142733,5.43,6.08,2.49,4.92,2.61,2.72,0.83,0.0,0.0,4.29,0.0,0.0,0.0,"43,807",0.336,2.23,1.45
2024-02-17 00:00,4193563,5.15,5.84,2.39,4.72,2.47,2.57,0.78,0.0,0.0,4.08,0.0,0.0,0.0,"64,154",0.328,2.08,1.46
2024-02-18 00:00,4561268,5.24,6.07,2.33,4.7,2.51,2.61,0.77,0.0,0.0,4.19,0.0,0.0,0.0,"60,562",0.336,2.36,1.498
2024-02-19 00:00,4111181,5.37,6.11,2.36,4.78,2.56,2.66,0.78,0.0,0.0,4.3,0.0,0.0,0.0,"58,106",0.352,2.44,1.499
2024-02-20 00:00,2888731,5.49,6.13,2.49,4.97,2.57,2.69,0.81,0.0,0.0,4.38,0.0,0.0,0.0,"42,112",0.344,2.23,1.478
2024-02-21 00:00,3031335,5.53,6.21,2.49,5.02,2.63,2.75,0.8,0.0,0.0,4.4,0.0,0.0,0.0,"44,902",0.344,2.23,1.464
2024-02-22 00:00,2978045,5.56,6.29,2.51,5.0,2.68,2.79,0.81,0.0,0.0,4.43,0.0,0.0,0.0,"41,330",0.36,2.27,1.454
2024-02-23 00:00,3168149,5.5,6.24,2.48,4.95,2.67,2.78,0.81,0.0,0.0,4.38,0.0,0.0,0.0,"43,257",0.36,2.32,1.441
2024-02-24 00:00,4014575,5.33,6.13,2.41,4.88,2.6,2.71,0.79,0.0,0.0,4.25,0.0,0.0,0.0,"55,707",0.352,2.23,1.458
2024-02-25 00:00,5065075,5.26,6.14,2.29,4.73,2.57,2.67,0.74,0.0,0.0,4.24,0.0,0.0,0.0,"71,587",0.368,2.53,1.499
2024-02-26 00:00,3235708,5.45,6.15,2.44,4.96,2.61,2.72,0.78,0.0,0.0,4.35,0.0,0.0,0.0,"46,069",0.352,2.31,1.483
2024-02-27 00:00,3109857,5.36,6.04,2.38,4.86,2.59,2.7,0.78,0.0,0.0,4.27,0.0,0.0,0.0,"42,799",0.32,2.03,1.511
2024-02-28 00:00,3246877,5.29,5.96,2.34,4.8,2.56,2.67,0.76,0.0,0.0,4.19,0.0,0.0,0.0,"46,068",0.312,1.95,1.501
2024-02-29 00:00,3351355,5.32,6.01,2.36,4.78,2.57,2.68,0.75,0.0,0.0,4.22,0.0,0.0,0.0,"45,760",0.304,1.93,1.501
2024-03-01 00:00,3507360,5.5,6.09,2.37,4.76,2.68,2.78,0.79,0.0,0.0,4.39,0.0,0.0,0.0,"43,345",0.312,2.02,1.473
2024-03-02 00:00,4335683,5.11,5.87,2.26,4.63,2.51,2.61,0.74,0.0,0.0,4.07,0.0,0.0,0.0,"54,419",0.304,1.9,1.484
2024-03-03 00:00,4727744,4.99,5.84,2.21,4.51,2.46,2.56,0.72,0.0,0.0,3.97,0.0,0.0,0.0,"58,975",0.304,1.97,1.5
2024-03-04 00:00,3240669,5.26,6.0,2.35,4.75,2.56,2.67,0.78,0.0,0.0,4.17,0.0,0.0,0.0,"41,424",0.304,1.98,1.508
2024-03-05 00:00,3196638,5.23,5.95,2.34,4.74,2.55,2.66,0.77,0.0,0.0,4.14,0.0,0.0,0.0,"71,842",0.304,1.93,1.501
2024-03-06 00:00,3836025,5.4,6.16,2.27,4.7,2.65,2.75,0.75,0.0,0.0,4.34,0.0,0.0,0.0,"100,005",0.312,2.2,1.535
2024-03-07 00:00,3231913,5.24,5.98,2.32,4.79,2.58,2.68,0.77,0.0,0.0,4.16,0.0,0.0,0.0,"88,132",0.304,1.94,1.46
2024-03-08 00:00,3281911,5.28,6.04,2.31,4.82,2.63,2.73,0.78,0.0,0.0,4.18,0.0,0.0,0.0,"88,296",0.304,1.96,1.376
2024-03-09 00:00,4350211,5.05,5.9,2.23,4.68,2.53,2.62,0.76,0.0,0.0,3.99,0.0,0.0,0.0,"116,908",0.296,1.89,1.4
2024-03-10 00:00,4339167,4.95,5.83,2.19,4.64,2.46,2.56,0.74,0.0,0.0,3.93,0.0,0.0,0.0,"114,590",0.296,1.9,1.419
2024-03-11 00:00,3359502,5.24,6.05,2.33,4.92,2.57,2.68,0.77,0.0,0.0,4.14,0.0,0.0,0.0,"53,497",0.304,1.92,1.426
2024-03-12 00:00,3295030,5.22,6.07,2.36,4.97,2.6,2.7,0.78,0.0,0.0,4.11,0.0,0.0,0.0,"43,264",0.304,1.94,1.428
2024-03-13 00:00,4036400,5.29,6.26,2.21,4.77,2.63,2.73,0.74,0.0,0.0,4.25,0.0,0.0,0.0,"53,681",0.32,2.27,1.451
2024-03-14 00:00,3225868,5.17,6.04,2.33,4.86,2.58,2.69,0.79,0.0,0.0,4.07,0.0,0.0,0.0,"42,217",0.312,1.99,1.4
2024-03-15 00:00,3324751,5.09,5.97,2.3,4.8,2.56,2.66,0.78,0.0,0.0,4.0,0.0,0.0,0.0,"43,195",0.304,1.94,1.379
2024-03-16 00:00,4197062,4.96,5.9,2.21,4.62,2.5,2.6,0.75,0.0,0.0,3.9,0.0,0.0,0.0,"53,251",0.304,1.92,1.387
2024-03-17 00:00,4316804,4.83,5.81,2.23,4.65,2.47,2.56,0.77,0.0,0.0,3.78,0.0,0.0,0.0,"53,941",0.296,1.89,1.404
2024-03-18 00:00,3256172,4.99,5.87,2.34,4.87,2.55,2.65,0.81,0.0,0.0,3.9,0.0,0.0,0.0,"42,372",0.304,1.93,1.284
2024-03-19 00:00,4214392,4.85,5.78,2.15,4.66,2.48,2.57,0.71,0.0,0.0,3.8,0.0,0.0,0.0,"50,772",0.304,1.92,1.257
2024-03-20 00:00,3338786,5.01,5.92,2.31,4.84,2.58,2.68,0.77,0.0,0.0,3.9,0.0,0.0,0.0,"43,302",0.304,2.01,1.264
